,Detector,FN
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,1.0
2,BWAF,1.0
3,CDDM,1.0
4,CUSUM,1.0
5,DDM,1.0
6,EDDM,1.0
7,EWMA,1.0
8,FHDDM,1.0
9,FHDDMS,1.0
10,FHDDMS.add,1.0
11,HDDM.A.test,1.0
12,HDDM.W.test,1.0
13,MDDM.A.100,1.0
14,MDDM.E.100,1.0
15,MDDM.G.100,1.0
16,NO_DETECTION,1.0
17,PageHinkley,1.0
18,RDDM,1.0
19,SeqDrift2,1.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
3,CDDM,0.0
4,CUSUM,0.0
5,DDM,0.0
6,EDDM,0.0
7,EWMA,0.0
8,FHDDM,0.0
9,FHDDMS,0.0
10,FHDDMS.add,0.0
11,HDDM.A.test,0.0
12,HDDM.W.test,0.0
13,MDDM.A.100,0.0
14,MDDM.E.100,0.0
15,MDDM.G.100,0.0
16,NO_DETECTION,0.0
17,PageHinkley,0.0
18,RDDM,0.0
19,SeqDrift2,0.0
1,ADWIN,0.0
2,BWAF,0.0
